Model,Test MSE,Test RMSE,Test MAE,Test R²,CV R² Mean,CV R² Std,Train Time
Gradient_Boosting_Regressor,0.15291663141223966,0.39104556181120337,0.22649220411659418,0.9986734612518183,0.9928983457897876,0.0034014999827301196,0.28374648094177246
XGBoost_Regressor,0.16750500011527536,0.40927374716108456,0.24927279158961604,0.998546908396327,0.9925503282392564,0.0042453374443291916,0.13397908210754395
SVR_RBF,0.36116446951463144,0.6009696078127674,0.37605792849503494,0.996866929000116,0.9962666148873586,0.001214944850941804,0.22871136665344238
Random_Forest_Regressor,0.9196467957519973,0.9589821665453416,0.5839096569932756,0.992022142405705,0.9815039909746266,0.006359195636828656,0.7872812747955322
Ridge_Regression,3.6375184907292772,1.9072279598226525,1.436388245206283,0.9684448370290644,0.9693269346738767,0.0037483095078981723,0.0
Lasso_Regression,3.6401052050120786,1.9079059738394024,1.4371926622631055,0.968422397503063,0.9693300383288808,0.003764583857281836,0.005308866500854492
