Algorithme,Paramètres,N Clusters,Silhouette,Davies-Bouldin,Calinski-Harabasz,N Bruit,Temps (s)
DBSCAN,"eps=0.3, min_samples=3",301,0.9996448773448173,0.027384308840992695,359785.7726029669,0,0.02885270118713379
Hierarchical,"linkage=complete, n=2",2,0.3592406556887066,0.5038069953775434,11.3085404373534,0,0.04013538360595703
K-Means,k=2,2,0.17008136914824207,2.1935780280631887,189.21984388678212,0,0.4539930820465088
Spectral,"affinity=nearest_neighbors, n=2",2,0.12504156467519226,0.9534492220467251,16.749183041004194,0,0.3153512477874756
